,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
105,02/12/2024,Guimaraes,Gil Vicente,4,0,H,1,0,H,1.67,5.0,3.8,12,14,11,19,5,8,3,8,18,10,L,L,W,L,D,L,D,W,D,L,12
106,02/12/2024,Porto,Casa Pia,2,0,H,0,0,D,1.2,13.0,6.25,28,10,8,14,13,5,1,6,27,13,L,D,W,D,W,W,W,L,W,D,12
107,05/12/2024,Moreirense,Sp Lisbon,2,1,H,2,1,H,8.5,1.36,4.75,15,39,14,5,5,15,5,4,17,33,W,W,L,W,W,W,W,W,L,W,12
108,06/12/2024,Sp Braga,Estoril,2,2,D,1,0,H,1.22,10.0,7.0,20,10,11,17,8,6,1,9,23,13,W,W,L,D,W,L,W,W,L,L,13
109,07/12/2024,Gil Vicente,Nacional,2,1,H,1,0,H,2.0,3.8,3.3,14,7,23,17,8,5,9,6,10,9,L,L,L,D,L,L,L,W,W,L,13
110,07/12/2024,Benfica,Guimaraes,1,0,H,1,0,H,1.33,10.0,5.0,31,16,7,11,14,6,5,3,31,21,W,W,W,L,W,W,W,D,W,D,13
111,07/12/2024,Santa Clara,Rio Ave,1,0,H,1,0,H,1.83,4.75,3.3,15,13,12,22,7,7,9,11,24,15,W,W,W,W,L,D,W,L,L,D,13
112,07/12/2024,Famalicao,Porto,1,1,D,1,0,H,6.0,1.5,4.33,13,30,11,8,8,13,5,1,17,30,L,W,D,L,W,W,L,W,D,W,13
113,08/12/2024,Boavista,Farense,1,1,D,0,0,D,2.4,3.1,3.1,7,6,15,18,2,3,9,9,10,8,D,W,L,D,W,L,L,L,D,W,13
114,08/12/2024,Casa Pia,AVS,1,1,D,1,0,H,1.85,4.33,3.4,10,9,16,20,5,5,6,13,13,10,L,L,D,D,D,L,W,L,L,D,13
115,09/12/2024,Estrela,Arouca,2,1,H,0,1,A,2.55,2.8,3.2,10,6,21,21,5,5,11,9,9,8,L,L,W,D,L,L,D,L,L,D,13
116,14/12/2024,Farense,Gil Vicente,0,1,A,0,0,D,2.8,2.63,3.1,6,14,18,23,3,8,9,9,8,10,W,L,D,L,L,L,L,L,W,W,13
117,14/12/2024,Nacional,Moreirense,1,0,H,0,0,D,2.8,2.6,3.1,8,19,17,18,5,7,6,7,12,20,W,W,L,L,D,W,L,L,W,W,14
118,14/12/2024,Sp Lisbon,Boavista,3,2,H,1,1,D,1.08,23.0,10.0,40,8,8,16,16,2,7,9,33,11,L,D,L,D,W,L,W,W,W,L,14
119,15/12/2024,Arouca,Santa Clara,1,0,H,0,0,D,3.1,2.3,3.2,7,16,23,12,6,8,9,9,8,27,L,W,L,W,D,W,L,L,L,W,14
120,15/12/2024,AVS,Benfica,1,1,D,0,1,A,13.0,1.18,7.0,10,32,21,8,5,15,14,5,11,32,D,D,L,W,D,W,L,W,L,W,14
121,15/12/2024,Estoril,Casa Pia,0,2,A,0,0,D,2.63,2.75,3.1,12,11,19,17,6,6,10,6,14,14,D,D,W,L,D,D,L,D,W,W,14
122,16/12/2024,Sp Braga,Famalicao,3,3,D,0,1,A,1.48,6.5,4.2,22,14,13,12,9,9,1,5,24,18,D,D,W,L,L,D,W,W,W,L,14
123,16/12/2024,Porto,Estrela,2,0,H,1,0,H,1.14,19.0,7.5,31,12,9,22,13,5,2,12,31,12,D,W,W,L,L,W,W,L,W,D,14
124,16/12/2024,Rio Ave,Guimaraes,2,2,D,2,0,H,3.7,2.05,3.3,13,16,23,12,7,6,12,4,15,21,L,L,W,W,W,L,D,W,L,D,14
125,19/12/2024,Nacional,Benfica,0,2,A,0,0,D,8.5,1.25,7.0,8,32,17,8,5,15,6,5,12,32,W,D,L,W,D,W,L,W,W,W,14
126,20/12/2024,Casa Pia,Arouca,3,1,H,2,0,H,2.3,3.5,3.1,13,8,17,23,6,6,6,9,17,11,W,W,D,L,L,L,D,D,D,L,15
127,21/12/2024,Famalicao,Farense,1,2,A,0,1,A,1.75,5.25,3.4,17,7,15,20,10,3,5,9,19,9,D,L,D,D,L,W,D,D,W,L,15
128,21/12/2024,Boavista,AVS,0,0,D,0,0,D,2.25,3.3,3.2,10,11,19,22,3,5,10,15,11,12,L,D,D,D,D,L,L,D,W,L,15
129,21/12/2024,Moreirense,Porto,0,3,A,0,1,A,7.0,1.48,4.1,19,33,19,9,7,14,7,2,20,34,L,W,W,D,L,W,W,L,L,W,15
130,22/12/2024,Santa Clara,Sp Braga,0,2,A,0,0,D,3.1,2.3,3.2,16,25,13,16,8,9,9,2,27,25,L,D,W,D,W,W,W,L,L,W,15
131,22/12/2024,Gil Vicente,Sp Lisbon,0,0,D,0,0,D,7.0,1.38,5.25,17,43,24,10,9,17,9,8,16,36,W,W,W,L,L,L,L,W,L,W,15
132,23/12/2024,Benfica,Estoril,3,0,H,1,0,H,1.08,23.0,9.5,34,12,8,21,15,6,5,10,35,14,W,L,D,D,W,W,W,D,W,L,15
133,23/12/2024,Guimaraes,Nacional,2,2,D,1,1,D,1.53,6.25,3.9,18,8,14,19,6,5,6,6,22,12,D,L,L,W,W,L,L,D,W,L,15
134,23/12/2024,Estrela,Rio Ave,1,0,H,1,0,H,2.35,3.0,3.3,12,15,24,25,5,9,13,12,12,16,L,D,W,L,L,W,W,W,L,D,15
135,27/12/2024,Arouca,Gil Vicente,1,1,D,0,0,D,2.25,3.2,3.25,9,17,26,24,6,9,11,9,11,17,L,D,W,W,L,W,L,L,D,L,16
136,28/12/2024,AVS,Estrela,1,1,D,0,1,A,2.45,3.1,3.0,11,13,22,24,5,6,15,13,13,15,D,W,D,L,D,W,L,L,D,W,16
137,28/12/2024,Estoril,Moreirense,2,2,D,2,1,H,3.25,2.4,3.0,12,19,24,22,6,7,11,8,14,20,L,L,L,L,D,W,W,L,D,W,16
138,28/12/2024,Porto,Boavista,4,0,H,1,0,H,1.13,15.0,9.0,36,10,9,19,15,3,2,10,37,12,W,D,W,L,D,D,W,D,L,L,16
139,29/12/2024,Farense,Guimaraes,2,2,D,1,0,H,4.2,1.85,3.5,9,20,21,16,4,7,9,7,12,23,W,D,L,D,D,L,W,W,D,L,16
140,29/12/2024,Rio Ave,Nacional,2,1,H,1,1,D,2.2,3.5,3.1,15,10,26,21,9,6,13,7,16,13,L,D,D,L,L,W,W,L,W,D,16
141,29/12/2024,Sp Braga,Casa Pia,1,2,A,1,1,D,1.42,7.5,4.5,27,16,16,18,9,8,2,6,28,20,W,W,D,W,D,D,W,L,L,D,16
142,29/12/2024,Sp Lisbon,Benfica,1,0,H,1,0,H,2.5,2.6,3.6,43,37,10,8,17,16,8,5,37,38,D,W,W,W,L,D,L,W,W,W,16
143,30/12/2024,Famalicao,Santa Clara,1,2,A,0,1,A,2.7,2.88,2.9,18,16,17,15,10,8,6,9,19,27,L,L,D,L,D,W,L,W,D,W,16
144,03/01/2025,Guimaraes,Sp Lisbon,4,4,D,1,2,A,3.8,1.95,3.5,22,44,18,10,7,18,8,8,24,40,D,W,D,D,D,W,L,L,W,L,17
145,04/01/2025,Moreirense,AVS,1,1,D,1,1,D,1.8,4.5,3.4,21,12,24,23,8,5,10,16,21,14,D,D,L,D,L,D,W,D,L,L,17
146,04/01/2025,Benfica,Sp Braga,1,2,A,0,2,A,1.42,7.0,4.5,37,28,9,18,16,10,6,3,38,28,L,L,W,W,W,D,D,D,W,W,17
147,04/01/2025,Boavista,Arouca,1,3,A,0,1,A,2.75,2.63,3.1,10,10,23,27,3,6,11,11,12,12,L,D,D,L,L,W,D,L,D,L,17
148,05/01/2025,Santa Clara,Farense,0,0,D,0,0,D,1.67,6.0,3.4,18,11,16,23,9,5,9,9,30,13,W,D,L,W,L,L,W,D,W,W,17
149,05/01/2025,Casa Pia,Famalicao,1,1,D,1,1,D,2.35,3.2,3.1,18,19,19,19,9,10,7,7,23,19,W,L,W,L,W,D,D,D,L,L,17
150,05/01/2025,Estrela,Estoril,2,4,A,0,3,A,2.25,3.3,3.1,14,14,25,26,7,8,13,12,16,15,D,D,W,L,L,L,W,D,L,W,17
151,06/01/2025,Gil Vicente,Rio Ave,1,1,D,1,0,H,2.2,3.4,3.2,18,17,25,27,9,10,9,14,18,19,D,W,D,L,W,D,W,L,L,W,17
