,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
105,6101,2024-11-10,Twente,Ajax,2,2,D,1,1,22,25,9,11,6,11,11,10,21,26,W,D,W,W,D,W,L,W,W,W,12
106,6102,2024-11-10,AZ Alkmaar,Willem II,1,2,A,0,1,22,11,12,11,10,5,9,7,17,12,L,L,D,L,L,D,L,W,L,L,12
107,6103,2024-11-23,GO Ahead Eagles,Almere City FC,3,0,H,2,1,15,5,19,23,4,7,14,4,15,6,D,L,D,W,L,D,W,L,W,L,12
108,6104,2024-11-23,Heracles,Waalwijk,2,2,D,1,1,12,10,23,31,16,10,7,13,12,4,L,L,W,W,L,L,L,D,L,L,13
109,6105,2024-11-23,Feyenoord,Heerenveen,3,0,H,2,1,28,13,13,23,8,16,7,15,25,14,W,W,W,L,L,W,W,L,W,D,13
110,6106,2024-11-23,PSV Eindhoven,Groningen,5,0,H,2,3,40,12,9,19,15,12,10,9,33,12,W,W,L,L,W,L,W,L,W,L,13
111,6107,2024-11-23,Fortuna Sittard,Twente,1,2,A,0,1,13,24,16,11,10,7,9,12,17,22,L,D,W,W,W,W,D,D,W,L,13
112,6108,2024-11-24,NEC Nijmegen,Utrecht,1,2,A,0,1,19,22,10,12,9,8,9,7,16,31,W,W,W,W,L,W,W,L,L,W,13
113,6109,2024-11-24,Willem II,NAC Breda,2,2,D,0,2,13,12,12,21,6,12,7,11,15,15,W,L,L,L,L,W,D,W,W,W,13
114,6110,2024-11-24,Sparta Rotterdam,AZ Alkmaar,1,2,A,1,0,12,23,18,14,6,10,8,10,11,17,L,L,L,L,L,D,D,L,L,L,13
115,6111,2024-11-24,Ajax,PEC Zwolle,2,0,H,1,1,27,14,11,22,12,9,11,13,29,12,W,W,D,D,W,L,W,L,W,D,13
116,6112,2024-11-29,Heerenveen,Waalwijk,1,1,D,1,0,13,10,23,31,16,10,15,13,14,4,W,L,L,W,W,L,L,D,D,L,13
117,6113,2024-11-30,NAC Breda,Almere City FC,1,0,H,1,0,14,6,23,30,14,9,11,6,16,6,D,L,L,L,L,L,W,W,W,D,14
118,6114,2024-11-30,Groningen,Willem II,2,0,H,1,1,12,15,24,14,15,6,11,9,12,16,L,D,W,W,L,L,L,L,L,D,14
119,6115,2024-11-30,Feyenoord,Fortuna Sittard,1,1,D,0,1,31,14,13,18,10,10,8,10,28,17,W,L,W,L,W,W,L,W,W,D,14
120,6116,2024-11-30,PEC Zwolle,Sparta Rotterdam,1,0,H,0,1,14,13,24,20,10,7,14,8,12,11,L,L,W,L,D,L,L,L,L,D,14
121,6117,2024-12-01,Utrecht,PSV Eindhoven,2,5,A,1,1,24,45,17,9,9,17,8,13,31,36,L,W,W,W,W,L,W,W,L,W,14
122,6118,2024-12-01,AZ Alkmaar,Heracles,1,0,H,0,1,25,14,15,25,10,17,11,8,20,13,W,D,L,L,L,W,D,L,L,L,14
123,6119,2024-12-01,Twente,GO Ahead Eagles,3,2,H,1,2,26,18,12,20,8,6,12,16,25,18,W,W,D,L,W,D,W,D,D,L,14
124,6120,2024-12-01,NEC Nijmegen,Ajax,1,2,A,1,0,20,29,12,12,9,12,10,12,16,32,L,W,W,W,W,D,L,W,W,W,14
125,6121,2024-12-04,Ajax,Utrecht,2,2,D,2,0,29,24,12,17,12,9,12,8,32,31,W,L,W,W,D,W,W,W,W,L,14
126,6122,2024-12-06,PSV Eindhoven,Twente,6,1,H,3,3,50,29,11,14,18,9,14,14,39,28,W,W,W,W,W,D,L,W,W,W,15
127,6123,2024-12-07,GO Ahead Eagles,NEC Nijmegen,5,0,H,4,1,20,21,23,14,8,10,17,10,18,16,L,L,W,L,L,W,D,W,D,L,15
128,6124,2024-12-07,Sparta Rotterdam,NAC Breda,0,2,A,0,0,13,15,21,23,8,15,8,11,11,19,L,W,L,D,L,L,L,L,L,W,15
129,6125,2024-12-07,Waalwijk,Feyenoord,2,3,A,1,1,13,32,34,14,11,10,15,9,6,29,D,D,D,W,L,W,W,W,L,L,15
130,6126,2024-12-07,Heracles,Fortuna Sittard,2,2,D,1,1,14,15,26,19,18,11,8,10,13,18,L,D,D,L,L,L,W,W,L,W,15
131,6127,2024-12-08,Groningen,PEC Zwolle,0,0,D,0,0,14,15,24,24,16,10,12,15,15,15,W,W,L,L,W,W,L,D,L,L,15
132,6128,2024-12-08,Willem II,Heerenveen,1,2,A,0,1,15,14,16,27,7,18,10,17,16,15,L,D,D,L,W,W,L,L,L,W,15
133,6129,2024-12-08,AZ Alkmaar,Ajax,2,1,H,0,2,26,31,15,14,10,14,12,12,23,33,W,D,W,W,L,W,L,D,D,W,15
134,6130,2024-12-08,Almere City FC,Utrecht,1,3,A,0,1,6,26,31,19,9,9,7,10,6,32,L,D,L,L,L,W,L,W,W,W,15
135,6131,2024-12-13,PEC Zwolle,Willem II,0,1,A,0,0,15,16,24,18,10,7,15,11,16,16,D,L,W,L,L,D,W,W,D,L,16
136,6132,2024-12-14,Heerenveen,PSV Eindhoven,1,0,H,0,1,16,56,28,12,19,21,17,17,18,42,W,W,D,W,L,W,W,W,L,L,16
137,6133,2024-12-14,Fortuna Sittard,Waalwijk,3,2,H,3,0,17,15,21,37,12,12,11,16,19,6,D,L,D,D,L,D,L,L,W,W,16
138,6134,2024-12-14,Feyenoord,Heracles,5,2,H,3,2,35,16,16,28,11,19,10,9,32,14,W,D,D,L,W,D,W,L,W,W,16
139,6135,2024-12-15,Utrecht,GO Ahead Eagles,3,3,D,1,2,29,25,20,23,10,12,10,18,35,21,W,W,D,L,L,W,W,L,W,D,16
140,6136,2024-12-15,NEC Nijmegen,Sparta Rotterdam,1,1,D,0,1,21,13,19,23,11,8,14,8,16,11,L,L,L,L,L,L,W,L,W,L,16
141,6137,2024-12-15,Twente,Groningen,2,0,H,1,1,30,14,20,24,12,16,17,12,28,16,L,D,W,W,W,L,D,W,W,L,16
142,6138,2024-12-15,Ajax,Almere City FC,3,0,H,2,1,32,7,16,34,16,9,12,8,33,6,L,L,D,L,W,L,W,L,D,L,16
143,6139,2024-12-15,NAC Breda,AZ Alkmaar,1,2,A,1,0,17,28,23,16,15,10,11,14,22,26,W,W,W,W,D,W,L,L,L,L,16
144,6140,2024-12-20,Waalwijk,PEC Zwolle,1,1,D,1,0,17,15,40,25,12,10,19,15,6,16,L,L,L,D,D,W,D,L,L,W,17
145,6141,2024-12-21,GO Ahead Eagles,NAC Breda,2,1,H,0,2,28,18,26,25,14,16,19,11,22,22,D,L,W,W,L,W,W,D,L,L,17
146,6142,2024-12-21,Almere City FC,Heerenveen,3,0,H,0,3,7,17,37,28,10,19,10,18,6,21,L,W,L,W,L,D,L,L,L,W,17
147,6143,2024-12-21,AZ Alkmaar,Twente,1,0,H,0,1,30,32,17,20,10,13,15,18,29,31,W,W,W,L,W,W,W,W,L,D,17
148,6144,2024-12-22,Sparta Rotterdam,Ajax,0,2,A,0,0,14,35,24,16,9,18,8,13,12,36,D,W,L,L,L,D,L,W,L,W,17
149,6145,2024-12-22,PSV Eindhoven,Feyenoord,3,0,H,2,1,56,40,13,18,22,14,17,12,42,35,L,W,W,W,W,D,W,W,W,W,17
150,6146,2024-12-22,Utrecht,Fortuna Sittard,2,5,A,1,1,32,20,23,23,11,15,12,11,36,22,D,W,W,D,D,D,L,L,W,L,17
151,6147,2024-12-22,Willem II,NEC Nijmegen,4,1,H,2,2,17,22,18,20,7,11,11,15,19,17,W,D,L,L,L,L,D,L,W,W,17
152,6148,2025-01-10,Fortuna Sittard,GO Ahead Eagles,0,3,A,0,0,20,28,23,26,15,14,11,19,22,22,W,D,D,W,D,L,L,W,L,L,17
153,6149,2025-01-11,Heracles,Sparta Rotterdam,1,1,D,0,1,19,14,34,26,21,9,13,8,15,12,D,L,L,D,D,L,L,L,D,L,18
154,6150,2025-01-11,Ajax,Waalwijk,2,1,H,2,0,37,18,16,41,18,13,13,19,39,7,W,D,W,L,L,L,D,D,W,D,18
155,6151,2025-01-11,PEC Zwolle,NEC Nijmegen,0,1,A,0,0,16,23,26,24,10,13,16,17,17,17,D,L,L,D,D,L,W,L,L,L,18
156,6152,2025-01-11,PSV Eindhoven,AZ Alkmaar,2,2,D,0,2,59,31,13,17,24,10,18,16,45,32,W,W,L,W,W,W,W,W,W,W,18
157,6153,2025-01-12,Twente,Willem II,6,2,H,2,4,32,21,21,19,14,9,18,13,31,22,L,W,W,W,L,L,W,L,W,D,18
158,6154,2025-01-12,Groningen,Almere City FC,0,0,D,0,0,14,10,26,37,17,10,13,13,17,9,D,W,L,L,D,L,W,L,L,L,18
159,6155,2025-01-12,Feyenoord,Utrecht,1,2,A,0,1,40,34,21,28,15,12,14,13,35,36,L,L,W,D,W,W,D,D,W,L,18
160,6156,2025-01-12,NAC Breda,Heerenveen,2,4,A,1,1,19,17,27,31,18,22,11,18,22,21,L,L,L,W,W,W,W,D,D,L,18
161,6157,2025-01-18,PEC Zwolle,PSV Eindhoven,3,1,H,2,1,16,59,26,13,10,24,16,18,17,45,D,W,L,L,D,W,W,W,L,W,18
162,6158,2025-01-18,Utrecht,AZ Alkmaar,0,0,D,0,0,36,33,29,19,13,12,13,16,39,33,W,D,L,W,D,W,W,W,D,W,19
163,6159,2025-01-18,Willem II,Feyenoord,1,1,D,0,1,23,41,25,23,13,15,15,15,22,35,L,L,W,L,W,W,L,W,L,D,19
164,6160,2025-01-18,GO Ahead Eagles,Groningen,2,1,H,1,1,33,15,27,28,14,18,21,14,28,17,W,L,W,D,D,L,W,D,L,W,19
165,6161,2025-01-19,NAC Breda,Twente,2,1,H,2,0,21,38,31,23,19,16,12,22,22,34,L,W,L,L,L,W,W,L,W,W,19
166,6162,2025-01-19,Heerenveen,Ajax,0,2,A,0,0,21,39,33,17,23,20,19,13,24,42,W,W,L,W,W,W,W,L,D,D,19
167,6163,2025-01-19,Almere City FC,Heracles,0,2,A,0,0,10,21,37,34,10,21,13,13,10,18,D,W,W,D,L,L,L,D,L,L,19
