,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
63,2003-02-05,Nantes,Rennes,1.0,0.0,0,0.0,0.0,0,1.727,4.333,3.2,H,6,-1.0,0.1,0.2,0.8,6,8.0,0.2,0.3,1.6,2003,2,2,0.39856912070159245,-1.473,1.133,2.606,0,0
64,2003-02-05,Sedan,Auxerre,1.0,2.0,2,1.0,0.0,1,2.625,2.5,2.875,A,6,-3.0,0.2,0.1,0.2,6,-5.0,0.3,0.1,0.4,2003,2,2,1.05,-0.25,-0.375,0.375,0,0
65,2003-02-05,Bastia,Paris SG,1.0,0.0,0,1.0,0.0,1,2.375,2.7,3.0,H,6,-1.0,0.2,0.2,0.5,6,4.0,0.2,0.3,0.6,2003,2,2,0.8796296296296295,-0.625,-0.2999999999999998,0.625,0,0
66,2003-02-05,Troyes,Nice,1.0,0.0,0,1.0,0.0,1,2.7,2.375,3.0,H,6,1.0,0.3,0.2,0.6,6,-8.0,0.2,0.0,0.4,2003,2,2,1.1368421052631579,-0.2999999999999998,-0.625,0.625,0,0
67,2003-02-05,Montpellier,Strasbourg,2.0,1.0,0,1.0,0.0,1,2.4,2.7,3.0,H,6,-5.0,0.2,0.1,0.2,6,-1.0,0.3,0.1,0.4,2003,2,2,0.8888888888888888,-0.6000000000000001,-0.2999999999999998,0.6000000000000001,0,0
68,2003-02-05,Lens,Bordeaux,3.0,3.0,1,3.0,1.0,1,2.25,3.0,2.9,D,6,1.0,0.3,0.2,0.6,6,-3.0,0.4,0.1,0.7,2003,2,2,0.75,-0.6499999999999999,0.10000000000000009,0.75,0,1
69,2003-02-05,Marseille,Le Havre,2.0,0.0,0,1.0,0.0,1,1.5,6.0,3.4,H,6,-2.0,0.1,0.2,0.6,6,-2.0,0.3,0.1,0.4,2003,2,2,0.25,-1.9,2.6,4.5,0,0
70,2003-04-05,Auxerre,Ajaccio,1.0,0.0,0,0.0,0.0,0,1.667,4.5,3.25,H,7,9.0,0.2,0.4,1.3,7,-5.0,0.3,0.1,0.3,2003,4,5,0.37044444444444447,-1.583,1.25,2.833,0,0
71,2003-04-05,Rennes,Bordeaux,3.0,4.0,2,1.0,0.0,1,2.7,2.4,3.0,A,7,-1.0,0.3,0.2,0.6,7,2.0,0.4,0.2,1.0,2003,4,5,1.1250000000000002,-0.2999999999999998,-0.6000000000000001,0.6000000000000001,0,0
72,2003-04-05,Nantes,Lille,1.0,0.0,0,0.0,0.0,0,1.615,5.0,3.25,H,7,-6.0,0.4,0.1,0.7,7,-2.0,0.2,0.2,0.3,2003,4,5,0.323,-1.635,1.75,3.385,0,0
