,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
191,2025-02-15,Monaco,Nantes,7,1,H,37,24,28,32,37,21,L,L,W,W,W,D,L,D,D,D,22
192,2025-02-15,Toulouse,Paris Saint Germain,0,1,A,23,58,24,20,27,53,D,W,D,W,L,D,D,W,L,W,22
193,2025-02-16,Montpellier,Lyon,1,4,A,20,36,48,26,15,33,L,W,L,L,W,D,W,D,L,L,22
194,2025-02-16,Reims,Angers,0,1,A,26,22,33,31,22,23,L,L,L,D,D,L,D,W,L,W,22
195,2025-02-16,Le Havre,Nice,1,3,A,17,41,40,26,17,37,W,W,D,D,L,W,D,L,L,W,22
196,2025-02-16,Lens,Strasbourg,0,2,A,25,35,20,32,33,30,L,W,W,L,W,W,L,D,W,W,22
197,2025-02-16,Rennes,Lille,0,2,A,29,34,30,22,23,35,W,L,W,W,L,L,L,W,L,D,22
198,2025-02-21,Rennes,Reims,1,0,H,29,26,32,34,23,22,L,L,W,L,W,L,L,D,L,D,23
199,2025-02-22,Lille,Monaco,2,1,H,36,44,22,29,38,40,W,W,L,L,W,W,L,W,W,L,23
200,2025-02-22,Saint Etienne,Angers,3,3,D,20,23,50,31,18,26,L,W,L,L,L,D,D,L,D,W,23
201,2025-02-22,Auxerre,Marseille,3,0,H,31,50,37,26,25,46,D,W,D,W,L,W,D,L,L,D,23
202,2025-02-23,Nantes,Lens,3,1,H,25,25,39,22,21,33,L,L,L,L,W,W,D,W,D,L,23
203,2025-02-23,Nice,Montpellier,2,0,H,44,21,27,52,40,15,W,L,W,L,D,L,W,W,L,W,23
204,2025-02-23,Strasbourg,Stade Brestois 29,0,0,D,37,35,32,38,33,32,W,D,W,W,L,L,W,W,D,W,23
205,2025-02-23,Le Havre,Toulouse,1,4,A,18,23,43,25,17,27,L,L,W,D,D,D,L,L,D,D,23
206,2025-02-23,Lyon,Paris Saint Germain,2,3,A,40,59,27,20,36,56,W,W,W,W,L,W,D,D,D,W,23
207,2025-02-28,Monaco,Reims,3,0,H,45,26,31,35,40,22,L,L,W,L,L,L,W,L,W,D,24
208,2025-03-01,Saint Etienne,Nice,1,3,A,23,46,53,27,19,43,D,W,L,W,L,W,L,D,D,W,24
209,2025-03-01,Lens,Le Havre,3,4,A,26,19,25,47,33,17,L,L,L,L,L,W,W,D,W,L,24
210,2025-03-01,Paris Saint Germain,Lille,4,1,H,62,38,22,23,59,41,W,W,W,W,W,L,W,W,D,L,24
211,2025-03-02,Lyon,Stade Brestois 29,2,1,H,42,35,30,38,36,33,L,D,W,D,W,W,L,L,D,W,24
212,2025-03-02,Angers,Toulouse,0,4,A,26,27,34,26,27,30,D,W,W,L,L,D,D,D,L,L,24
213,2025-03-02,Montpellier,Rennes,0,4,A,21,30,54,32,15,26,L,W,L,L,L,W,L,W,W,L,24
214,2025-03-02,Auxerre,Strasbourg,0,1,A,34,37,37,32,28,34,W,D,D,W,D,W,L,L,D,W,24
215,2025-03-02,Marseille,Nantes,2,0,H,50,28,29,40,46,24,L,W,W,L,W,L,W,W,L,D,24
216,2025-03-07,Toulouse,Monaco,1,1,D,31,48,26,31,33,43,W,W,W,L,L,W,D,L,D,W,25
217,2025-03-08,Rennes,Paris Saint Germain,1,4,A,34,66,32,23,29,62,W,W,W,W,L,W,W,W,W,W,25
218,2025-03-08,Lille,Montpellier,1,0,H,39,21,27,58,41,15,L,L,W,L,W,L,L,L,W,L,25
219,2025-03-08,Marseille,Lens,0,1,A,52,29,29,29,49,33,W,L,L,L,W,L,W,L,W,W,25
220,2025-03-09,Stade Brestois 29,Angers,2,0,H,36,26,40,38,33,27,L,L,D,D,D,W,W,L,L,D,25
221,2025-03-09,Nantes,Strasbourg,0,1,A,28,38,42,32,24,37,L,W,W,D,L,W,L,W,W,L,25
222,2025-03-09,Reims,Auxerre,0,2,A,26,34,38,38,22,28,L,L,L,W,L,D,L,D,L,L,25
223,2025-03-09,Le Havre,Saint Etienne,1,1,D,23,24,50,56,20,19,W,L,L,D,L,L,W,L,D,L,25
224,2025-03-09,Nice,Lyon,0,2,A,49,44,28,31,46,39,W,W,W,L,W,W,W,W,D,L,25
225,2025-03-14,Nice,Auxerre,1,1,D,49,36,30,38,46,31,L,W,W,L,W,W,W,D,W,D,26
226,2025-03-15,Nantes,Lille,1,0,H,28,40,43,27,24,44,L,W,L,L,W,W,L,W,L,L,26
227,2025-03-15,Angers,Monaco,0,2,A,26,49,40,32,27,44,L,D,L,W,D,L,W,W,L,L,26
