,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
3972,2025-02-28,VfB Stuttgart,Bayern München,1,3,1,0,A,41,69,34,19,19,22,24,29,36,58,D,W,L,D,W,W,L,W,L,W,24
3973,2025-03-01,Werder Bremen,VfL Wolfsburg,1,2,0,1,A,35,46,47,37,19,14,23,23,30,34,L,D,L,W,L,D,W,D,D,D,24
3974,2025-03-01,RB Leipzig,FSV Mainz 05,1,2,1,0,A,38,37,31,24,20,15,19,15,38,38,D,W,D,W,W,D,D,L,D,W,24
3975,2025-03-01,VfL Bochum,1899 Hoffenheim,0,1,0,0,A,22,30,47,46,24,15,17,23,15,22,D,D,W,W,D,L,L,L,L,D,24
3976,2025-03-01,1. FC Heidenheim,Borussia Mönchengladbach,0,3,0,0,A,27,35,47,35,17,26,19,15,15,34,D,L,L,W,L,D,L,W,L,W,24
3977,2025-03-01,FC St. Pauli,Borussia Dortmund,0,2,0,0,A,18,43,27,38,10,23,12,31,21,32,L,W,L,L,L,L,D,W,W,D,24
3978,2025-03-01,Eintracht Frankfurt,Bayer Leverkusen,1,4,1,0,A,49,51,33,27,28,22,20,19,42,50,L,W,W,D,D,D,D,W,D,D,24
3979,2025-03-02,Union Berlin,Holstein Kiel,0,1,0,0,A,21,34,35,59,24,22,11,24,24,13,L,L,L,L,W,D,D,L,L,D,24
3980,2025-03-02,FC Augsburg,SC Freiburg,0,0,0,0,D,27,34,35,36,18,26,19,21,31,39,W,W,D,W,D,W,D,W,W,L,24
3981,2025-03-07,Borussia Mönchengladbach,FSV Mainz 05,1,3,0,1,A,38,39,35,25,26,15,15,16,37,41,W,W,L,W,W,W,D,D,W,L,25
3982,2025-03-08,Bayern München,VfL Bochum,2,3,2,0,A,72,22,20,48,22,24,30,17,61,15,W,L,W,D,D,W,W,D,W,L,25
3983,2025-03-08,VfL Wolfsburg,FC St. Pauli,1,1,0,1,D,48,18,38,29,15,10,23,12,37,21,W,L,D,L,W,L,D,L,D,D,25
3984,2025-03-08,Borussia Dortmund,FC Augsburg,0,1,0,0,A,45,27,38,35,23,18,31,19,35,32,W,D,W,W,L,D,L,D,W,D,25
3985,2025-03-08,Bayer Leverkusen,Werder Bremen,0,2,0,0,A,55,36,28,49,22,19,20,24,53,30,W,L,W,L,D,L,D,L,W,W,25
3986,2025-03-08,Holstein Kiel,VfB Stuttgart,2,2,1,1,D,35,42,59,37,22,20,24,24,16,36,W,L,L,D,L,L,D,W,L,L,25
3987,2025-03-08,SC Freiburg,RB Leipzig,0,0,0,0,D,34,39,36,33,26,21,21,19,40,38,D,L,W,D,W,D,W,W,W,D,25
