,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
112,2024-12-07,VfL Bochum,Werder Bremen,0,1,0,0,A,10,19,33,24,15,4,9,15,2,16,L,D,L,L,D,W,L,L,L,D,13
113,2024-12-07,Holstein Kiel,RB Leipzig,0,2,0,0,A,13,19,31,14,7,6,11,11,5,21,L,L,L,L,L,D,W,L,L,W,13
114,2024-12-07,Borussia Mönchengladbach,Borussia Dortmund,1,1,0,1,D,18,23,17,19,12,14,9,17,17,20,L,D,W,W,D,L,W,W,D,L,13
115,2024-12-08,VfL Wolfsburg,FSV Mainz 05,4,3,1,3,H,25,20,19,14,7,7,9,6,18,19,W,W,W,W,W,W,D,D,D,D,13
116,2024-12-08,1899 Hoffenheim,SC Freiburg,1,1,0,1,D,17,16,24,16,10,11,12,9,12,20,L,W,W,L,D,D,L,D,D,L,13
117,2024-12-13,SC Freiburg,VfL Wolfsburg,3,2,1,2,H,17,29,17,22,12,8,9,12,21,21,D,W,W,W,L,W,D,W,D,D,14
118,2024-12-14,Borussia Mönchengladbach,Holstein Kiel,4,1,3,1,H,19,13,18,33,12,7,10,11,18,5,D,L,L,L,W,L,D,L,W,W,14
119,2024-12-14,FSV Mainz 05,Bayern München,2,1,1,1,H,23,41,18,10,10,9,7,15,19,33,L,W,W,D,W,W,W,W,D,W,14
120,2024-12-14,FC Augsburg,Bayer Leverkusen,0,2,0,0,A,16,30,25,20,16,16,13,9,16,26,D,W,W,W,L,W,D,D,D,D,14
121,2024-12-14,Union Berlin,VfL Bochum,1,1,1,0,D,12,10,14,34,13,15,3,9,16,2,L,L,L,L,L,L,D,D,L,L,14
122,2024-12-14,FC St. Pauli,Werder Bremen,0,2,0,0,A,11,20,17,24,5,4,8,15,11,19,L,W,W,D,L,L,L,W,W,L,14
123,2024-12-15,1. FC Heidenheim,VfB Stuttgart,1,3,1,0,A,17,26,28,23,11,13,11,17,10,20,L,W,L,D,L,W,L,L,L,D,14
124,2024-12-15,Borussia Dortmund,1899 Hoffenheim,1,1,0,1,D,24,18,20,25,15,10,17,13,21,13,D,D,D,L,W,W,L,D,W,L,14
125,2024-12-15,RB Leipzig,Eintracht Frankfurt,2,1,1,1,H,21,33,14,18,6,18,11,10,24,27,W,D,L,W,L,W,D,W,L,W,14
126,2024-12-20,Bayern München,RB Leipzig,5,1,3,2,H,42,23,12,15,10,7,16,12,33,27,L,W,W,W,D,L,W,L,W,D,15
