,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
237,2025-03-29,Holstein Kiel,Werder Bremen,0,3,A,0.0,1.0,A,3.2,2.05,3.9
238,2025-03-29,M'gladbach,RB Leipzig,1,0,H,0.0,0.0,D,2.88,2.3,3.7
239,2025-03-29,Wolfsburg,Heidenheim,0,1,A,0.0,1.0,A,1.67,5.0,3.75
240,2025-03-29,Ein Frankfurt,Stuttgart,1,0,H,0.0,0.0,D,2.5,2.5,3.8
241,2025-03-30,Freiburg,Union Berlin,1,2,A,1.0,1.0,D,2.0,3.7,3.5
242,2025-03-30,Dortmund,Mainz,3,1,H,2.0,0.0,H,1.62,5.0,3.9
243,2025-04-04,Augsburg,Bayern Munich,1,3,A,1.0,1.0,D,7.5,1.42,4.75
244,2025-04-05,Bochum,Stuttgart,0,4,A,0.0,2.0,A,3.1,2.15,3.7
245,2025-04-05,Freiburg,Dortmund,1,4,A,0.0,1.0,A,3.1,2.2,3.5
246,2025-04-05,Heidenheim,Leverkusen,0,1,A,0.0,0.0,D,6.5,1.44,4.75
247,2025-04-05,Mainz,Holstein Kiel,1,1,D,0.0,1.0,A,1.45,7.0,4.5
248,2025-04-05,RB Leipzig,Hoffenheim,3,1,H,2.0,1.0,H,1.55,5.5,4.2
249,2025-04-05,Werder Bremen,Ein Frankfurt,2,0,H,1.0,0.0,H,2.63,2.5,3.5
250,2025-04-06,St Pauli,M'gladbach,1,1,D,0.0,1.0,A,2.5,2.75,3.3
251,2025-04-06,Union Berlin,Wolfsburg,1,0,H,0.0,0.0,D,2.45,2.88,3.3
252,2025-04-11,Wolfsburg,RB Leipzig,2,3,A,0.0,2.0,A,2.88,2.3,3.75
253,2025-04-12,Bochum,Augsburg,1,2,A,0.0,1.0,A,2.5,2.8,3.4
254,2025-04-12,Hoffenheim,Mainz,2,0,H,2.0,0.0,H,2.7,2.55,3.5
255,2025-04-12,Holstein Kiel,St Pauli,1,2,A,1.0,1.0,D,3.25,2.25,3.3
256,2025-04-12,Leverkusen,Union Berlin,0,0,D,0.0,0.0,D,1.33,9.5,4.75
257,2025-04-12,M'gladbach,Freiburg,1,2,A,1.0,1.0,D,2.15,3.25,3.6
258,2025-04-12,Bayern Munich,Dortmund,2,2,D,0.0,0.0,D,1.44,6.0,5.25
259,2025-04-13,Stuttgart,Werder Bremen,1,2,A,1.0,1.0,D,1.65,4.5,4.33
260,2025-04-13,Ein Frankfurt,Heidenheim,3,0,H,2.0,0.0,H,1.73,4.2,4.2
261,2025-04-19,Freiburg,Hoffenheim,3,2,H,2.0,2.0,D,1.91,3.75,3.7
262,2025-04-19,Heidenheim,Bayern Munich,0,4,A,0.0,3.0,A,9.0,1.29,6.0
263,2025-04-19,Mainz,Wolfsburg,2,2,D,2.0,1.0,H,2.0,3.6,3.6
264,2025-04-19,RB Leipzig,Holstein Kiel,1,1,D,0.0,1.0,A,1.33,7.5,5.75
265,2025-04-19,Werder Bremen,Bochum,1,0,H,0.0,0.0,D,1.73,4.33,4.1
266,2025-04-19,Union Berlin,Stuttgart,4,4,D,4.0,4.0,D,2.8,2.45,3.4
